,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.09797004734815234,0.09736461681033792,0.10348396658082278,0.101703157722118,0.09597052396628183,0.10470535287847202,0.0977638726415938,0.10001718336605202,0.10046398644524242,0.10055729224092702
automobile,0.1016983224840663,0.0991756852862451,0.10047689793723433,0.1006987653307059,0.09676615914456232,0.10382351244664957,0.09865850409372556,0.10169699471370491,0.09749559807747808,0.09950956048562773
bird,0.10192383413080236,0.0983613171613996,0.10242746903647822,0.10122136118078069,0.099233875146486,0.09491666868381278,0.09847742146024598,0.10225911200651165,0.09919707688740483,0.10198186430607774
cat,0.09541479419198912,0.1031550224614271,0.10301153966594358,0.0936540452910943,0.10071364359559414,0.10220776876490525,0.09863949759669631,0.1025829959862101,0.1036831023524341,0.09693759009370596
deer,0.09990483695101782,0.0976146559338452,0.10075176829212999,0.10295277707067173,0.09625705363345304,0.10350635573505426,0.10201320170273914,0.09449244278398178,0.10205846003611625,0.10044844786099069
dog,0.09820612502834371,0.10223340740813205,0.09916619426201778,0.10307119449879347,0.09901485401777319,0.10088449562776426,0.10715505866064516,0.0989784869539608,0.09184997902679341,0.09944020451577622
frog,0.10405177562981217,0.10096549862812684,0.0991217929881527,0.09979845023692327,0.09872648835716832,0.10291167700667148,0.09259594723273172,0.09850995056259486,0.10272667068482283,0.10059174867299582
horse,0.0977250526100319,0.09792326880307288,0.10146047737064627,0.10088639704861099,0.10122315075935971,0.0996977313330253,0.10489169138592308,0.09674675717176363,0.09858465863749011,0.1008608148800761
ship,0.09891251809560302,0.09741501018593843,0.1006500655892667,0.10072446389326016,0.09713156003362063,0.10472686040140189,0.10305754398575126,0.09981981243766103,0.09983844903261035,0.09772371634488647
truck,0.0977255688864508,0.09436843917436323,0.10250705602431412,0.10129583968866948,0.10466203899445882,0.10325861153717243,0.09860738017626197,0.09779485355298148,0.09988158184294416,0.09989863012238359
